tanggal,tahun,bulan,week,nama_provinsi,nama_kota,nama_kecamatan,hospitalized,self_isolation,recovered,recovered_delta,total_deaths,total_deaths_delta,total_cases,total_cases_delta,recovery_rate,mortality_rate
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,44,182,2082,172,46,1,2354,353,0.16177156177156177,3.5742035742035742E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,SENEN,54,134,2444,192,50,2,2682,297,0.14554549785612197,2.9776083849452121E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,49,178,3382,305,70,1,3679,467,0.16578431372549018,3.4313725490196078E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,76,285,3860,429,68,4,4289,705,0.14338781575037146,2.5260029717682022E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,111,664,5042,716,83,9,5900,1410,0.16071656253984445,2.6456712992477369E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,62,334,3074,352,46,5,3516,687,0.1419664711587309,2.1244169399159468E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,122,437,4674,479,90,6,5323,943,0.16994509689852016,3.2723702868777951E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,45,335,3061,324,53,5,3494,646,0.15967657798643714,2.7647365675534689E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,87,247,3027,326,51,4,3412,596,0.17109427990052001,2.8826588288491974E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,108,560,5300,669,100,9,6068,1188,0.15550274330311298,2.9340140245870377E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,56,418,3521,365,61,5,4056,772,0.13089705937023682,2.2677422952526115E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,79,259,2705,310,47,2,3090,575,0.1556028531983433,2.7036355269213067E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA SELATAN,TEBET,59,321,3951,442,88,8,4419,768,0.18251951771608074,4.0652284381207555E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,118,545,6281,672,109,17,7053,1202,0.18464840075258701,3.2043744120413922E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,77,464,4903,674,55,5,5499,1111,0.16655343433657177,1.8683334465656634E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,96,443,4336,513,81,5,4956,974,0.14360944589805585,2.6827410326896962E-3
2021-01-23,2021,January,4,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,161,692,6699,757,151,6,7703,1483,0.21054782034761291,4.7458905616494327E-3
